Argentina;38
Gambia;20
Ghana;20
Iran;18
Uzbekistan;16
Angola;15.5
Nigeria;13.5
Malawi;13.5
Tajikistan;13.25
Sierra Leone;13
Mozambique;12.75
Zambia;10.25
Egypt;10.25
Uganda;10
Mongolia;10
Kenya;10
Belarus;9.5
Trinidad and Tobago;9.25
Pakistan;9
Kazakhstan;9
DR Congo;9
Turkey;8.25
Tunisia;7.75
Mexico;7.5
Sri Lanka;7.25
Azerbaijan;7.25
Barbados;7
Georgia;7
Namibia;6.5
Eastern Caribbean;6.5
Vietnam;6
Rwanda;6
Bangladesh;6
Ukraine;6
Armenia;5.75
Cape Verde;5.5
Paraguay;5.5
Dominican Republic;5.25
Qatar;5
Botswana;5
Kyrgyzstan;5
Indonesia;4.5
Russia;4.5
South Africa;4.25
Colombia;4.25
China;4.2
Bahamas;4
Philippines;4
Jordan;3.75
India;3.75
North Macedonia;3.25
Moldova;3.25
Croatia;3
Central African States;2.95
Mauritius;2.85
Kuwait;2.75
Romania;2.5
Bahrain;2.5
Eest African States;2.5
Saudi Arabia;2.25
Brazil;2.25
Morocco;2
Malaysia;2
UAE;2
Hong Kong;2
Serbia;1.75
Chile;1.75
Thailand;1.5
Taiwan;1.375
Iceland;1
Albania;1
Hungary;0.9
South Korea;0.75
Fiji;0.5
Jamaica;0.5
Czech Republic;0.25
Canada;0.25
New Zealand;0.25
Australia;0.25
United States;0.25
Peru;0.25
Samoa;0.19
Poland;0.1
Israel;0.1
United Kingdom;0.1
Bulgaria;0
Sweden;0
Norway;0
European Union Eurozone;0
Japan;-0.1
Switzerland;-0.75
Denmark;-0.75
Uruguay;-